figure,panel,analysis,series,x,value,lower,upper,unit,source_result
1,a,degree_only_auc,Conventional,DTI,0.983,,,AUROC,results/biosnap_dti_gate1.md
1,a,degree_only_auc,Neutralized,DTI,0.620,,,AUROC,results/biosnap_dti_gate1.md
1,a,degree_only_auc,Conventional,HuRI_PPI,0.928,,,AUROC,results/huri_ppi_gate1.md
1,a,degree_only_auc,Neutralized,HuRI_PPI,0.513,,,AUROC,results/huri_ppi_gate1.md
1,a,degree_only_auc,Conventional,Compound_Disease,0.871,,,AUROC,results/hetionet_ctd_gate1.md
1,a,degree_only_auc,Neutralized,Compound_Disease,0.519,,,AUROC,results/hetionet_ctd_gate1.md
1,a,degree_only_auc,Conventional,Disease_Gene,0.876,,,AUROC,results/hetionet_dag_gate1.md
1,a,degree_only_auc,Neutralized,Disease_Gene,0.513,,,AUROC,results/hetionet_dag_gate1.md
1,b,dti_full_panel_auc,Conventional,SVD,0.951,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Neutralized,SVD,0.915,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Conventional,NeuralMF,0.996,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Neutralized,NeuralMF,0.907,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Conventional,LightGCN,0.989,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Neutralized,LightGCN,0.881,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Conventional,GraphBAN,0.997,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
1,b,dti_full_panel_auc,Neutralized,GraphBAN,0.927,,,AUROC,results/dti_fair_model_selection_panel_5seed.md
2,a,ppi_model_auc,Conventional,NeuralMF,0.931,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,a,ppi_model_auc,Neutralized,NeuralMF,0.552,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,a,ppi_model_auc,Conventional,LightGCN,0.908,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,a,ppi_model_auc,Neutralized,LightGCN,0.595,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,a,ppi_model_auc,Conventional,SVD,0.877,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,a,ppi_model_auc,Neutralized,SVD,0.766,,,AUROC,results/h4_biogrid_temporal_model_table.csv
2,b,ppi_turnover,Cross_selected,100,0.990,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_NeuralMF_LOO,100,0.137,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_SVD_LOO,100,0.050,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Cross_selected,500,0.986,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_NeuralMF_LOO,500,0.139,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_SVD_LOO,500,0.035,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Cross_selected,1000,0.976,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_NeuralMF_LOO,1000,0.130,,,HT,results/h5c_biogrid_ppi_identity.md
2,b,ppi_turnover,Within_SVD_LOO,1000,0.038,,,HT,results/h5c_biogrid_ppi_identity.md
3,a,biogrid_future_hits,SVD,100,7,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,100,0,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,100,0,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,SVD,500,18,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,500,1,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,500,4,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,SVD,1000,26,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,1000,5,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,1000,5,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,SVD,5000,87,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,5000,22,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,5000,30,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,SVD,10000,159,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,10000,42,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,10000,66,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,SVD,50000,522,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,NeuralMF,50000,181,,,count,results/h4b_biogrid_future_yield.md
3,a,biogrid_future_hits,LightGCN,50000,241,,,count,results/h4b_biogrid_future_yield.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,100,0.0012,0.0004,0.0023,recall_difference,results/h4c_biogrid_future_uncertainty.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,500,0.0030,0.0016,0.0046,recall_difference,results/h4c_biogrid_future_uncertainty.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,1000,0.0037,0.0020,0.0057,recall_difference,results/h4c_biogrid_future_uncertainty.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,5000,0.0115,0.0082,0.0151,recall_difference,results/h4c_biogrid_future_uncertainty.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,10000,0.0208,0.0163,0.0252,recall_difference,results/h4c_biogrid_future_uncertainty.md
3,b,biogrid_recall_delta,SVD_minus_NeuralMF,50000,0.0605,0.0531,0.0680,recall_difference,results/h4c_biogrid_future_uncertainty.md
4,a,dti_winner_count,Conventional,GraphBAN,4,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Conventional,NeuralMF,1,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Conventional,SVD,0,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Conventional,LightGCN,0,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Neutralized,GraphBAN,4,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Neutralized,SVD,1,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Neutralized,NeuralMF,0,,,count,results/dti_fair_model_selection_panel_5seed.md
4,a,dti_winner_count,Neutralized,LightGCN,0,,,count,results/dti_fair_model_selection_panel_5seed.md
4,b,chembl_primary_hits,SVD,100,3,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,100,0,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,SVD,500,5,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,500,0,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,SVD,1000,6,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,1000,2,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,SVD,5000,13,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,5000,12,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,SVD,10000,15,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,10000,19,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,SVD,50000,23,,,count,results/h6_chembl_dti_external.md
4,b,chembl_primary_hits,NeuralMF,50000,35,,,count,results/h6_chembl_dti_external.md
