seed,n_train,n_test,n_test_seen_endpoints,seen_test_fraction,n_degree_matched,matched_fraction,auc_random,auc_degree_matched,inflation_auc,collapse_fraction
0,14952,3738,3134,0.8384162653825575,1934,0.6171027440970006,0.9839760023359909,0.6179564191216024,0.36601958321438854,0.7562763059485056
1,14952,3738,3120,0.8346709470304976,1818,0.5826923076923077,0.9864304939184747,0.6248708066626245,0.3615596872558502,0.7432915735674401
2,14952,3738,3146,0.8416265382557517,1878,0.5969485060394152,0.98407436925324,0.6074771668135385,0.3765972024397015,0.7779738535230883
3,14952,3738,3137,0.839218833600856,1844,0.5878227605992987,0.9839113183126237,0.6167849294893211,0.3671263888233026,0.758664604298687
4,14952,3738,3144,0.841091492776886,1914,0.6087786259541985,0.9809055598449974,0.6080021106099368,0.3729034492350606,0.7754192930421777
5,14952,3738,3150,0.8426966292134831,1845,0.5857142857142857,0.9826506424792139,0.5975542189026226,0.38509642357659124,0.7978781952894138
6,14952,3738,3119,0.8344034242910647,1914,0.6136582237896762,0.9833303026132072,0.6340986614605683,0.34923164115263894,0.7225527538092664
7,14952,3738,3158,0.8448368111289459,1923,0.6089297023432553,0.9808374421084844,0.6278214103083104,0.35301603180017405,0.7341691825249501
8,14952,3738,3163,0.8461744248261103,1969,0.6225102750553272,0.9825179375543315,0.6349860109503294,0.3475319266040021,0.720246646923608
9,14952,3738,3109,0.8317281968967363,1755,0.5644901897716308,0.9844437356512045,0.608282562641537,0.37616117300966745,0.7764806216433365
10,14952,3738,3128,0.8368111289459604,1827,0.584079283887468,0.9804394430962644,0.6065151475660507,0.37392429553021367,0.7782964136341558
11,14952,3738,3127,0.8365436062065276,1991,0.6367125039974416,0.9830250756560892,0.6444647574053103,0.3385603182507789,0.7009166507368485
12,14952,3738,3093,0.8274478330658106,1841,0.5952150016165535,0.9843818352695912,0.6226682001285818,0.3617136351410094,0.7467530960150298
13,14952,3738,3158,0.8448368111289459,1923,0.6089297023432553,0.9826351523980233,0.6273422231741064,0.355292929223917,0.736152199976746
14,14952,3738,3137,0.839218833600856,1901,0.6059929869301881,0.9841827909993619,0.6191490621647401,0.3650337288346218,0.7539171891697879
15,14952,3738,3121,0.8349384697699305,1791,0.5738545338032682,0.9825317450874126,0.6133169102538563,0.3692148348335563,0.7651617506878673
16,14952,3738,3105,0.8306581059390048,1840,0.5925925925925926,0.9836700454567849,0.6288894139886578,0.3547806314681271,0.7335178905550522
17,14952,3738,3099,0.8290529695024077,1930,0.622781542433043,0.9833533097989015,0.6173440897742222,0.3660092200246793,0.7572291584740715
18,14952,3738,3121,0.8349384697699305,1826,0.5850688881768664,0.9840928333155898,0.6127891032416033,0.37130373007398654,0.767009351348786
19,14952,3738,3131,0.8376136971642589,1864,0.5953369530501437,0.9851660092086624,0.626031948230765,0.35913406097789735,0.7402292290914374
