model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,0,0.0,0.0,0.0
NeuralMF,500,0,0.0,0.0,0.0
NeuralMF,1000,1,0.001,0.0163934426229508,16.48781967213115
NeuralMF,5000,9,0.0018,0.1475409836065573,29.678075409836065
NeuralMF,10000,13,0.0013,0.2131147540983606,21.43416557377049
NeuralMF,50000,28,0.00056,0.4590163934426229,9.23317901639344
SVD,100,2,0.02,0.0327868852459016,329.75639344262294
SVD,500,3,0.006,0.0491803278688524,98.92691803278689
SVD,1000,4,0.004,0.0655737704918032,65.9512786885246
SVD,5000,10,0.002,0.1639344262295081,32.9756393442623
SVD,10000,12,0.0012,0.1967213114754098,19.78538360655737
SVD,50000,20,0.0004,0.3278688524590163,6.595127868852459
LightGCN,100,0,0.0,0.0,0.0
LightGCN,500,1,0.002,0.0163934426229508,32.9756393442623
LightGCN,1000,4,0.004,0.0655737704918032,65.9512786885246
LightGCN,5000,7,0.0014,0.1147540983606557,23.082947540983607
LightGCN,10000,9,0.0009,0.1475409836065573,14.839037704918033
LightGCN,50000,28,0.00056,0.4590163934426229,9.23317901639344
GraphBAN,100,2,0.02,0.03278688524590164,329.75639344262294
GraphBAN,500,2,0.004,0.03278688524590164,65.9512786885246
GraphBAN,1000,4,0.004,0.06557377049180328,65.9512786885246
GraphBAN,5000,12,0.0024,0.19672131147540983,39.57076721311475
GraphBAN,10000,13,0.0013,0.21311475409836064,21.43416557377049
GraphBAN,50000,24,0.00048,0.39344262295081966,7.914153442622951
