model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform,sensitivity
NeuralMF,100,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,500,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,1000,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,5000,2,0.0004,0.0909090909090909,18.286490909090908,pchembl_ge_7
NeuralMF,10000,2,0.0002,0.0909090909090909,9.143245454545454,pchembl_ge_7
NeuralMF,50000,7,0.00014,0.3181818181818182,6.4002718181818175,pchembl_ge_7
NeuralMF,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,500,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,1000,1,0.001,0.0163934426229508,16.48781967213115,exact_relation_pchembl_ge_6
NeuralMF,5000,9,0.0018,0.1475409836065573,29.678075409836065,exact_relation_pchembl_ge_6
NeuralMF,10000,13,0.0013,0.2131147540983606,21.43416557377049,exact_relation_pchembl_ge_6
NeuralMF,50000,28,0.00056,0.4590163934426229,9.23317901639344,exact_relation_pchembl_ge_6
SVD,100,1,0.01,0.0454545454545454,457.1622727272728,pchembl_ge_7
SVD,500,1,0.002,0.0454545454545454,91.43245454545456,pchembl_ge_7
SVD,1000,1,0.001,0.0454545454545454,45.71622727272728,pchembl_ge_7
SVD,5000,4,0.0008,0.1818181818181818,36.572981818181816,pchembl_ge_7
SVD,10000,5,0.0005,0.2272727272727272,22.85811363636364,pchembl_ge_7
SVD,50000,7,0.00014,0.3181818181818182,6.4002718181818175,pchembl_ge_7
SVD,100,2,0.02,0.0327868852459016,329.75639344262294,exact_relation_pchembl_ge_6
SVD,500,3,0.006,0.0491803278688524,98.92691803278689,exact_relation_pchembl_ge_6
SVD,1000,4,0.004,0.0655737704918032,65.9512786885246,exact_relation_pchembl_ge_6
SVD,5000,10,0.002,0.1639344262295081,32.9756393442623,exact_relation_pchembl_ge_6
SVD,10000,12,0.0012,0.1967213114754098,19.78538360655737,exact_relation_pchembl_ge_6
SVD,50000,20,0.0004,0.3278688524590163,6.595127868852459,exact_relation_pchembl_ge_6
LightGCN,100,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,500,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,1000,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,5000,1,0.0002,0.0454545454545454,9.143245454545454,pchembl_ge_7
LightGCN,10000,3,0.0003,0.1363636363636363,13.71486818181818,pchembl_ge_7
LightGCN,50000,11,0.00022,0.5,10.05757,pchembl_ge_7
LightGCN,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
LightGCN,500,1,0.002,0.0163934426229508,32.9756393442623,exact_relation_pchembl_ge_6
LightGCN,1000,4,0.004,0.0655737704918032,65.9512786885246,exact_relation_pchembl_ge_6
LightGCN,5000,7,0.0014,0.1147540983606557,23.082947540983607,exact_relation_pchembl_ge_6
LightGCN,10000,9,0.0009,0.1475409836065573,14.839037704918033,exact_relation_pchembl_ge_6
LightGCN,50000,28,0.00056,0.4590163934426229,9.23317901639344,exact_relation_pchembl_ge_6
GraphBAN,100,1,0.01,0.045454545454545456,457.16227272727275,pchembl_ge_7
GraphBAN,500,1,0.002,0.045454545454545456,91.43245454545455,pchembl_ge_7
GraphBAN,1000,1,0.001,0.045454545454545456,45.716227272727274,pchembl_ge_7
GraphBAN,5000,3,0.0006,0.13636363636363635,27.429736363636362,pchembl_ge_7
GraphBAN,10000,4,0.0004,0.18181818181818182,18.286490909090908,pchembl_ge_7
GraphBAN,50000,8,0.00016,0.36363636363636365,7.3145963636363645,pchembl_ge_7
GraphBAN,100,2,0.02,0.03278688524590164,329.75639344262294,exact_relation_pchembl_ge_6
GraphBAN,500,2,0.004,0.03278688524590164,65.9512786885246,exact_relation_pchembl_ge_6
GraphBAN,1000,4,0.004,0.06557377049180328,65.9512786885246,exact_relation_pchembl_ge_6
GraphBAN,5000,12,0.0024,0.19672131147540983,39.57076721311475,exact_relation_pchembl_ge_6
GraphBAN,10000,13,0.0013,0.21311475409836064,21.43416557377049,exact_relation_pchembl_ge_6
GraphBAN,50000,24,0.00048,0.39344262295081966,7.914153442622951,exact_relation_pchembl_ge_6
