model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,0,0.0,0.0,0.0
NeuralMF,500,0,0.0,0.0,0.0
NeuralMF,1000,1,0.001,0.01639344262295082,16.48781967213115
NeuralMF,5000,9,0.0018,0.14754098360655737,29.678075409836065
NeuralMF,10000,13,0.0013,0.21311475409836064,21.43416557377049
NeuralMF,50000,28,0.00056,0.45901639344262296,9.233179016393441
SVD,100,2,0.02,0.03278688524590164,329.75639344262294
SVD,500,3,0.006,0.04918032786885246,98.92691803278689
SVD,1000,4,0.004,0.06557377049180328,65.9512786885246
SVD,5000,10,0.002,0.16393442622950818,32.9756393442623
SVD,10000,12,0.0012,0.19672131147540983,19.785383606557374
SVD,50000,20,0.0004,0.32786885245901637,6.595127868852459
LightGCN,100,0,0.0,0.0,0.0
LightGCN,500,1,0.002,0.01639344262295082,32.9756393442623
LightGCN,1000,4,0.004,0.06557377049180328,65.9512786885246
LightGCN,5000,7,0.0014,0.11475409836065574,23.082947540983607
LightGCN,10000,9,0.0009,0.14754098360655737,14.839037704918033
LightGCN,50000,28,0.00056,0.45901639344262296,9.233179016393441
GraphBAN,100,0,0.0,0.0,0.0
GraphBAN,500,2,0.004,0.03278688524590164,65.9512786885246
GraphBAN,1000,4,0.004,0.06557377049180328,65.9512786885246
GraphBAN,5000,11,0.0022,0.18032786885245902,36.27320327868853
GraphBAN,10000,12,0.0012,0.19672131147540983,19.785383606557374
GraphBAN,50000,26,0.00052,0.4262295081967213,8.573666229508197
