model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform,sensitivity
NeuralMF,100,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,500,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,1000,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,5000,2,0.0004,0.09090909090909091,18.286490909090908,pchembl_ge_7
NeuralMF,10000,2,0.0002,0.09090909090909091,9.143245454545454,pchembl_ge_7
NeuralMF,50000,7,0.00014,0.3181818181818182,6.4002718181818175,pchembl_ge_7
SVD,100,1,0.01,0.045454545454545456,457.16227272727275,pchembl_ge_7
SVD,500,1,0.002,0.045454545454545456,91.43245454545455,pchembl_ge_7
SVD,1000,1,0.001,0.045454545454545456,45.716227272727274,pchembl_ge_7
SVD,5000,4,0.0008,0.18181818181818182,36.572981818181816,pchembl_ge_7
SVD,10000,5,0.0005,0.22727272727272727,22.858113636363637,pchembl_ge_7
SVD,50000,7,0.00014,0.3181818181818182,6.4002718181818175,pchembl_ge_7
LightGCN,100,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,500,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,1000,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,5000,1,0.0002,0.045454545454545456,9.143245454545454,pchembl_ge_7
LightGCN,10000,3,0.0003,0.13636363636363635,13.714868181818181,pchembl_ge_7
LightGCN,50000,11,0.00022,0.5,10.05757,pchembl_ge_7
GraphBAN,100,0,0.0,0.0,0.0,pchembl_ge_7
GraphBAN,500,1,0.002,0.045454545454545456,91.43245454545455,pchembl_ge_7
GraphBAN,1000,1,0.001,0.045454545454545456,45.716227272727274,pchembl_ge_7
GraphBAN,5000,2,0.0004,0.09090909090909091,18.286490909090908,pchembl_ge_7
GraphBAN,10000,3,0.0003,0.13636363636363635,13.714868181818181,pchembl_ge_7
GraphBAN,50000,9,0.00018,0.4090909090909091,8.22892090909091,pchembl_ge_7
NeuralMF,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,500,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,1000,1,0.001,0.01639344262295082,16.48781967213115,exact_relation_pchembl_ge_6
NeuralMF,5000,9,0.0018,0.14754098360655737,29.678075409836065,exact_relation_pchembl_ge_6
NeuralMF,10000,13,0.0013,0.21311475409836064,21.43416557377049,exact_relation_pchembl_ge_6
NeuralMF,50000,28,0.00056,0.45901639344262296,9.233179016393441,exact_relation_pchembl_ge_6
SVD,100,2,0.02,0.03278688524590164,329.75639344262294,exact_relation_pchembl_ge_6
SVD,500,3,0.006,0.04918032786885246,98.92691803278689,exact_relation_pchembl_ge_6
SVD,1000,4,0.004,0.06557377049180328,65.9512786885246,exact_relation_pchembl_ge_6
SVD,5000,10,0.002,0.16393442622950818,32.9756393442623,exact_relation_pchembl_ge_6
SVD,10000,12,0.0012,0.19672131147540983,19.785383606557374,exact_relation_pchembl_ge_6
SVD,50000,20,0.0004,0.32786885245901637,6.595127868852459,exact_relation_pchembl_ge_6
LightGCN,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
LightGCN,500,1,0.002,0.01639344262295082,32.9756393442623,exact_relation_pchembl_ge_6
LightGCN,1000,4,0.004,0.06557377049180328,65.9512786885246,exact_relation_pchembl_ge_6
LightGCN,5000,7,0.0014,0.11475409836065574,23.082947540983607,exact_relation_pchembl_ge_6
LightGCN,10000,9,0.0009,0.14754098360655737,14.839037704918033,exact_relation_pchembl_ge_6
LightGCN,50000,28,0.00056,0.45901639344262296,9.233179016393441,exact_relation_pchembl_ge_6
GraphBAN,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
GraphBAN,500,2,0.004,0.03278688524590164,65.9512786885246,exact_relation_pchembl_ge_6
GraphBAN,1000,4,0.004,0.06557377049180328,65.9512786885246,exact_relation_pchembl_ge_6
GraphBAN,5000,11,0.0022,0.18032786885245902,36.27320327868853,exact_relation_pchembl_ge_6
GraphBAN,10000,12,0.0012,0.19672131147540983,19.785383606557374,exact_relation_pchembl_ge_6
GraphBAN,50000,26,0.00052,0.4262295081967213,8.573666229508197,exact_relation_pchembl_ge_6
