drug,smiles
CID000000119,C(CC(=O)O)CN
CID000000191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
CID000000271,[Ca+2]
CID000000444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CID000000564,C(CCC(=O)O)CCN
CID000000598,C(CS(=O)(=O)O)S
CID000000838,CNCC(C1=CC(=C(C=C1)O)O)O
CID000000937,C1=CC(=CN=C1)C(=O)[O-]
CID000000942,CN1CCCC1C2=CN=CC=C2
CID000001046,C1=CN=C(C=N1)C(=O)N
CID000001065,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
CID000001206,CC(CC1=CC=CC=C1)NC
CID000001775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
CID000001972,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CID000001978,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
CID000001983,CC(=O)NC1=CC=C(C=C1)O
CID000001986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
CID000002083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CID000002088,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
CID000002092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CID000002099,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
CID000002118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CID000002130,C1C2CC3CC1CC(C2)(C3)N
CID000002141,C(CN)CNCCSP(=O)(O)O
CID000002153,CN1C2=C(C(=O)N(C1=O)C)NC=N2
CID000002156,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
CID000002160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CID000002162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CID000002170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CID000002182,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31
CID000002187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
CID000002215,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
CID000002244,CC(=O)OC1=CC=CC=C1C(=O)O
CID000002249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CID000002266,C(CCCC(=O)O)CCCC(=O)O
CID000002267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CID000002284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CID000002369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CID000002370,CC(C[N+](C)(C)C)OC(=O)N
CID000002375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CID000002405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CID000002435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
CID000002474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CID000002476,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
CID000002477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
CID000002519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CID000002520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CID000002541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
CID000002551,C[N+](C)(C)CCOC(=O)N
CID000002578,C(CCl)NC(=O)N(CCCl)N=O
CID000002585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CID000002662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
CID000002678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
CID000002708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
CID000002712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
CID000002719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
