model,k,future_hits,precision_lower_bound,recall_of_later_added,chance_expected_hits,enrichment_over_uniform
SVD,100,7,0.07,0.0012422360248447205,0.008045276273502272,870.0757763975156
SVD,500,18,0.036,0.003194321206743567,0.04022638136751136,447.4675421472937
SVD,1000,26,0.026,0.004614019520851819,0.08045276273502272,323.1710026619343
SVD,5000,87,0.0174,0.015439219165927241,0.4022638136751136,216.2759787045253
SVD,10000,159,0.0159,0.028216503992901508,0.8045276273502272,197.63149778172138
SVD,50000,522,0.01044,0.09263531499556345,4.022638136751136,129.76558722271517
NeuralMF,100,0,0.0,0.0,0.008045276273502272,0.0
NeuralMF,500,1,0.002,0.0001774622892635315,0.04022638136751136,24.859307897071872
NeuralMF,1000,5,0.005,0.0008873114463176575,0.08045276273502272,62.14826974267968
NeuralMF,5000,22,0.0044,0.003904170363797693,0.4022638136751136,54.69047737355812
NeuralMF,10000,42,0.0042,0.007453416149068323,0.8045276273502272,52.204546583850934
NeuralMF,50000,181,0.00362,0.0321206743566992,4.022638136751136,44.995347293700085
LightGCN,100,0,0.0,0.0,0.008045276273502272,0.0
LightGCN,500,4,0.008,0.000709849157054126,0.04022638136751136,99.43723158828749
LightGCN,1000,5,0.005,0.0008873114463176575,0.08045276273502272,62.14826974267968
LightGCN,5000,30,0.006,0.005323868677905945,0.4022638136751136,74.57792369121562
LightGCN,10000,66,0.0066,0.011712511091393079,0.8045276273502272,82.03571606033718
LightGCN,50000,241,0.00482,0.04276841171251109,4.022638136751136,59.91093203194321
