model,k,hits,recall,recall_boot_lo,recall_boot_hi,uniform_hypergeom_p
SVD,100,7,0.0012422360248447205,0.000354924578527063,0.0023070097604259094,3.4566326580911064e-19
SVD,500,18,0.003194321206743567,0.001774622892635315,0.004791481810115351,8.1785693504105e-42
SVD,1000,26,0.004614019520851819,0.0030168589174800354,0.006388642413487134,5.474963346799102e-56
SVD,5000,87,0.015439219165927241,0.012244897959183673,0.018811002661934337,3.0543569015438356e-168
SVD,10000,159,0.028216503992901508,0.023957409050576754,0.0326530612244898,4.507651563871535e-300
SVD,50000,522,0.09263531499556345,0.08518189884649512,0.1002661934338953,0.0
NeuralMF,100,0,0.0,0.0,0.0,1.0
NeuralMF,500,1,0.0001774622892635315,0.0,0.0005323868677905945,0.039429733550091946
NeuralMF,1000,5,0.0008873114463176575,0.0001774622892635315,0.001774622892635315,2.597073353808443e-08
NeuralMF,5000,22,0.003904170363797693,0.0023070097604259094,0.005678793256433008,1.1088805994650477e-30
NeuralMF,10000,42,0.007453416149068323,0.005323868677905945,0.009760425909494233,2.778474375890391e-56
NeuralMF,50000,181,0.0321206743566992,0.027506654835847383,0.036734693877551024,5.8760281292812095e-226
LightGCN,100,0,0.0,0.0,0.0,1.0
LightGCN,500,4,0.000709849157054126,0.0001774622892635315,0.001419698314108252,1.0430393825283112e-07
LightGCN,1000,5,0.0008873114463176575,0.0001774622892635315,0.001774622892635315,2.597073353808443e-08
LightGCN,5000,30,0.005323868677905945,0.00354924578527063,0.0072759538598047915,2.97230991331133e-45
LightGCN,10000,66,0.011712511091393079,0.009050576752440106,0.014551907719609583,2.7077138343796783e-100
LightGCN,50000,241,0.04276841171251109,0.03744454303460515,0.04809228039041703,0.0
