candidate_count,spearman_all_candidates,k100_overlap_count,k100_turnover,k100_jaccard,k500_overlap_count,k500_turnover,k500_jaccard,k1000_overlap_count,k1000_turnover,k1000_jaccard,family,seed,random_winner,neutral_winner
802939,0.10395828919012828,0,1.0,0.0,0,1.0,0.0,57,0.943,0.029336078229541946,DTI,0,NeuralMF,SVD
814578,0.07544953384213879,0,1.0,0.0,0,1.0,0.0,62,0.938,0.03199174406604747,DTI,1,NeuralMF,SVD
822808,0.09949115008631922,0,1.0,0.0,0,1.0,0.0,78,0.922,0.04058272632674298,DTI,2,NeuralMF,SVD
812161,0.09086579764548361,0,1.0,0.0,0,1.0,0.0,52,0.948,0.026694045174537988,DTI,3,NeuralMF,SVD
833974,0.08546574779867457,0,1.0,0.0,1,0.998,0.001001001001001001,48,0.952,0.02459016393442623,DTI,4,NeuralMF,SVD
611399,0.2512180993828541,6,0.94,0.030927835051546393,56,0.888,0.059322033898305086,135,0.865,0.07238605898123325,Disease-Gene,0,NeuralMF,LightGCN
609571,0.23283534439122575,3,0.97,0.015228426395939087,36,0.928,0.03734439834024896,103,0.897,0.05429625724828677,Disease-Gene,1,NeuralMF,LightGCN
612699,0.2704033091336814,4,0.96,0.02040816326530612,67,0.866,0.07181136120042872,156,0.844,0.08459869848156182,Disease-Gene,2,NeuralMF,LightGCN
616375,0.26922862654753005,7,0.9299999999999999,0.03626943005181347,44,0.912,0.04602510460251046,109,0.891,0.05764145954521417,Disease-Gene,3,NeuralMF,LightGCN
621763,0.2670530753506508,9,0.91,0.04712041884816754,50,0.9,0.05263157894736842,117,0.883,0.06213489113117366,Disease-Gene,4,NeuralMF,LightGCN
