init_a,init_b,k,turnover,family,comparison,model_a,model_b,init
0.0,1.0,100,0.43999999999999995,DTI,within,NeuralMF,NeuralMF,
0.0,1.0,500,0.04400000000000004,DTI,within,NeuralMF,NeuralMF,
0.0,1.0,1000,0.23399999999999999,DTI,within,NeuralMF,NeuralMF,
0.0,2.0,100,0.29000000000000004,DTI,within,NeuralMF,NeuralMF,
0.0,2.0,500,0.04400000000000004,DTI,within,NeuralMF,NeuralMF,
0.0,2.0,1000,0.20599999999999996,DTI,within,NeuralMF,NeuralMF,
0.0,3.0,100,0.36,DTI,within,NeuralMF,NeuralMF,
0.0,3.0,500,0.040000000000000036,DTI,within,NeuralMF,NeuralMF,
0.0,3.0,1000,0.19899999999999995,DTI,within,NeuralMF,NeuralMF,
0.0,4.0,100,0.26,DTI,within,NeuralMF,NeuralMF,
0.0,4.0,500,0.038000000000000034,DTI,within,NeuralMF,NeuralMF,
0.0,4.0,1000,0.20699999999999996,DTI,within,NeuralMF,NeuralMF,
1.0,2.0,100,0.35,DTI,within,NeuralMF,NeuralMF,
1.0,2.0,500,0.038000000000000034,DTI,within,NeuralMF,NeuralMF,
1.0,2.0,1000,0.256,DTI,within,NeuralMF,NeuralMF,
1.0,3.0,100,0.22999999999999998,DTI,within,NeuralMF,NeuralMF,
1.0,3.0,500,0.030000000000000027,DTI,within,NeuralMF,NeuralMF,
1.0,3.0,1000,0.20599999999999996,DTI,within,NeuralMF,NeuralMF,
1.0,4.0,100,0.35,DTI,within,NeuralMF,NeuralMF,
1.0,4.0,500,0.030000000000000027,DTI,within,NeuralMF,NeuralMF,
1.0,4.0,1000,0.20999999999999996,DTI,within,NeuralMF,NeuralMF,
2.0,3.0,100,0.31000000000000005,DTI,within,NeuralMF,NeuralMF,
2.0,3.0,500,0.03400000000000003,DTI,within,NeuralMF,NeuralMF,
2.0,3.0,1000,0.20499999999999996,DTI,within,NeuralMF,NeuralMF,
2.0,4.0,100,0.18000000000000005,DTI,within,NeuralMF,NeuralMF,
2.0,4.0,500,0.03400000000000003,DTI,within,NeuralMF,NeuralMF,
2.0,4.0,1000,0.21299999999999997,DTI,within,NeuralMF,NeuralMF,
3.0,4.0,100,0.30000000000000004,DTI,within,NeuralMF,NeuralMF,
3.0,4.0,500,0.02400000000000002,DTI,within,NeuralMF,NeuralMF,
3.0,4.0,1000,0.18100000000000005,DTI,within,NeuralMF,NeuralMF,
0.0,1.0,100,0.12,DTI,within,SVD,SVD,
0.0,1.0,500,0.10199999999999998,DTI,within,SVD,SVD,
0.0,1.0,1000,0.14,DTI,within,SVD,SVD,
