molecule_chembl_id,target_chembl_id,assay_chembl_id,pchembl_value,standard_relation,standard_type
CHEMBL1023,CHEMBL2004,CHEMBL803365,7.12,=,Ki
CHEMBL1023,CHEMBL2055,CHEMBL799804,6.75,=,Ki
CHEMBL1023,CHEMBL2008,CHEMBL798919,7.3,=,Ki
CHEMBL1023,CHEMBL2003,CHEMBL798025,6.89,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL798301,7.8,=,Ki
CHEMBL1023,CHEMBL1870,CHEMBL798320,8.23,=,Ki
CHEMBL1023,CHEMBL2004,CHEMBL800755,8.08,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL769011,7.44,=,Kd
CHEMBL104,CHEMBL3522,CHEMBL661140,7.09,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL798296,7.85,=,Kd
CHEMBL1023,CHEMBL2061,CHEMBL798933,7.44,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL830377,8.23,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL830379,7.85,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL881222,7.85,=,Ki
CHEMBL104,CHEMBL4305,CHEMBL948111,6.44,=,IC50
CHEMBL104,CHEMBL4305,CHEMBL1032478,7.16,=,IC50
CHEMBL1055,CHEMBL261,CHEMBL1029729,6.46,=,Ki
CHEMBL1055,CHEMBL205,CHEMBL1029730,6.86,=,Ki
CHEMBL1055,CHEMBL3729,CHEMBL1029732,6.71,=,Ki
CHEMBL1055,CHEMBL4789,CHEMBL1029733,6.04,=,Ki
CHEMBL1055,CHEMBL3969,CHEMBL1029734,8.05,=,Ki
CHEMBL1055,CHEMBL2326,CHEMBL1029736,8.55,=,Ki
CHEMBL1055,CHEMBL3594,CHEMBL1029737,7.64,=,Ki
CHEMBL1055,CHEMBL3242,CHEMBL1029738,8.35,=,Ki
CHEMBL1023,CHEMBL2061,CHEMBL1061278,7.68,=,Ki
CHEMBL1029,CHEMBL2608,CHEMBL1040324,7.0,=,IC50
CHEMBL1029,CHEMBL3761,CHEMBL1040323,6.64,=,IC50
CHEMBL104,CHEMBL1978,CHEMBL1105634,8.74,=,IC50
CHEMBL1000,CHEMBL231,CHEMBL1224920,7.3,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224921,7.3,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224922,7.5,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224923,7.5,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224924,7.1,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224925,7.2,=,Ki
CHEMBL1000,CHEMBL231,CHEMBL1224926,7.2,=,Ki
CHEMBL1017,CHEMBL227,CHEMBL1803889,9.31,=,IC50
CHEMBL1055,CHEMBL205,CHEMBL1909123,6.17,=,IC50
CHEMBL104,CHEMBL1835,CHEMBL1909116,7.85,=,IC50
CHEMBL1029,CHEMBL3761,CHEMBL2015864,6.64,=,IC50
CHEMBL1017,CHEMBL227,CHEMBL2061970,9.0,=,IC50
CHEMBL1017,CHEMBL227,CHEMBL2061975,6.82,=,IC50
CHEMBL1017,CHEMBL227,CHEMBL2327554,9.31,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL2399493,6.83,=,EC50
CHEMBL1017,CHEMBL227,CHEMBL2439561,9.0,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL3100733,7.58,=,Kd
CHEMBL1017,CHEMBL227,CHEMBL3117635,8.7,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL3297474,7.58,=,Kd
CHEMBL1023,CHEMBL2061,CHEMBL3297475,7.4,=,EC50
CHEMBL1029,CHEMBL3761,CHEMBL3384691,6.64,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL3429522,7.7,=,EC50
CHEMBL1023,CHEMBL2061,CHEMBL3626682,6.93,=,EC50
CHEMBL104,CHEMBL5503,CHEMBL3767625,6.16,=,IC50
CHEMBL104,CHEMBL5503,CHEMBL3767624,7.0,=,IC50
CHEMBL104,CHEMBL5503,CHEMBL3767621,7.0,=,Ki
CHEMBL104,CHEMBL5503,CHEMBL3767622,7.1,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL3784067,7.5,=,EC50
CHEMBL1023,CHEMBL2061,CHEMBL3784071,7.5,=,EC50
CHEMBL1016,CHEMBL227,CHEMBL3789066,8.46,=,Ki
CHEMBL1016,CHEMBL227,CHEMBL3789066,7.97,=,IC50
CHEMBL1016,CHEMBL227,CHEMBL3791105,9.16,=,IC50
CHEMBL1017,CHEMBL235,CHEMBL3873287,6.16,=,EC50
CHEMBL1023,CHEMBL2004,CHEMBL4037099,7.6,=,EC50
CHEMBL1023,CHEMBL1870,CHEMBL4037098,7.62,=,EC50
