model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,2,0.02,0.030303030303030304,147.44242424242427
NeuralMF,500,2,0.004,0.030303030303030304,29.488484848484852
NeuralMF,1000,6,0.006,0.09090909090909091,44.232727272727274
NeuralMF,5000,12,0.0024,0.18181818181818182,17.69309090909091
NeuralMF,10000,21,0.0021,0.3181818181818182,15.481454545454545
NeuralMF,50000,38,0.00076,0.5757575757575758,5.602812121212122
SVD,100,4,0.04,0.06060606060606061,294.88484848484853
SVD,500,5,0.01,0.07575757575757576,73.72121212121213
SVD,1000,6,0.006,0.09090909090909091,44.232727272727274
SVD,5000,13,0.0026,0.19696969696969696,19.16751515151515
SVD,10000,15,0.0015,0.22727272727272727,11.058181818181819
SVD,50000,23,0.00046,0.3484848484848485,3.3911757575757577
LightGCN,100,1,0.01,0.015151515151515152,73.72121212121213
LightGCN,500,5,0.01,0.07575757575757576,73.72121212121213
LightGCN,1000,5,0.005,0.07575757575757576,36.86060606060607
LightGCN,5000,11,0.0022,0.16666666666666666,16.218666666666667
LightGCN,10000,17,0.0017,0.25757575757575757,12.53260606060606
LightGCN,50000,33,0.00066,0.5,4.865600000000001
