model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform,sensitivity
NeuralMF,100,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,500,0,0.0,0.0,0.0,pchembl_ge_7
NeuralMF,1000,2,0.002,0.07692307692307693,78.25707692307692,pchembl_ge_7
NeuralMF,5000,5,0.001,0.19230769230769232,39.12853846153846,pchembl_ge_7
NeuralMF,10000,7,0.0007,0.2692307692307692,27.389976923076922,pchembl_ge_7
NeuralMF,50000,12,0.00024,0.46153846153846156,9.39084923076923,pchembl_ge_7
SVD,100,2,0.02,0.07692307692307693,782.5707692307692,pchembl_ge_7
SVD,500,3,0.006,0.11538461538461539,234.77123076923075,pchembl_ge_7
SVD,1000,3,0.003,0.11538461538461539,117.38561538461538,pchembl_ge_7
SVD,5000,7,0.0014,0.2692307692307692,54.779953846153845,pchembl_ge_7
SVD,10000,8,0.0008,0.3076923076923077,31.30283076923077,pchembl_ge_7
SVD,50000,10,0.0002,0.38461538461538464,7.8257076923076925,pchembl_ge_7
LightGCN,100,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,500,0,0.0,0.0,0.0,pchembl_ge_7
LightGCN,1000,1,0.001,0.038461538461538464,39.12853846153846,pchembl_ge_7
LightGCN,5000,4,0.0008,0.15384615384615385,31.30283076923077,pchembl_ge_7
LightGCN,10000,7,0.0007,0.2692307692307692,27.389976923076922,pchembl_ge_7
LightGCN,50000,15,0.0003,0.5769230769230769,11.738561538461537,pchembl_ge_7
NeuralMF,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,500,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
NeuralMF,1000,2,0.002,0.030303030303030304,30.828545454545456,exact_relation_pchembl_ge_6
NeuralMF,5000,12,0.0024,0.18181818181818182,36.994254545454545,exact_relation_pchembl_ge_6
NeuralMF,10000,19,0.0019,0.2878787878787879,29.287118181818183,exact_relation_pchembl_ge_6
NeuralMF,50000,35,0.0007,0.5303030303030303,10.789990909090909,exact_relation_pchembl_ge_6
SVD,100,3,0.03,0.045454545454545456,462.42818181818177,exact_relation_pchembl_ge_6
SVD,500,5,0.01,0.07575757575757576,154.14272727272729,exact_relation_pchembl_ge_6
SVD,1000,6,0.006,0.09090909090909091,92.48563636363636,exact_relation_pchembl_ge_6
SVD,5000,13,0.0026,0.19696969696969696,40.07710909090909,exact_relation_pchembl_ge_6
SVD,10000,15,0.0015,0.22727272727272727,23.12140909090909,exact_relation_pchembl_ge_6
SVD,50000,23,0.00046,0.3484848484848485,7.090565454545454,exact_relation_pchembl_ge_6
LightGCN,100,0,0.0,0.0,0.0,exact_relation_pchembl_ge_6
LightGCN,500,2,0.004,0.030303030303030304,61.65709090909091,exact_relation_pchembl_ge_6
LightGCN,1000,5,0.005,0.07575757575757576,77.07136363636364,exact_relation_pchembl_ge_6
LightGCN,5000,11,0.0022,0.16666666666666666,33.9114,exact_relation_pchembl_ge_6
LightGCN,10000,15,0.0015,0.22727272727272727,23.12140909090909,exact_relation_pchembl_ge_6
LightGCN,50000,33,0.00066,0.5,10.17342,exact_relation_pchembl_ge_6
