seed,n_seen,seen_fraction,n_matched,matched_fraction,auc_random,auc_degree_matched,inflation_auc
0,1807,0.7156435643564356,1807,1.0,0.8769358783970227,0.5130032962264134,0.3639325821706093
1,1787,0.7077227722772277,1787,1.0,0.8749403842775452,0.5114646944966272,0.36347568978091793
2,1827,0.7235643564356435,1827,1.0,0.8698702099415536,0.5122911541857241,0.3575790557558295
3,1819,0.7203960396039604,1819,1.0,0.8658021839594942,0.5136758139980494,0.35212636996144475
4,1825,0.7227722772277227,1825,1.0,0.8707012948020266,0.513997222743479,0.3567040720585476
5,1789,0.7085148514851485,1789,1.0,0.8653088044102819,0.5138808650216636,0.35142793938861827
6,1761,0.6974257425742574,1761,1.0,0.8789760218965981,0.512612213454425,0.3663638084421731
7,1845,0.7306930693069307,1845,1.0,0.8709126695602999,0.5136939358553477,0.35721873370495216
8,1816,0.7192079207920792,1816,1.0,0.8810639397232626,0.5113719337654524,0.36969200595781015
9,1870,0.7405940594059406,1870,1.0,0.8791688352540822,0.5130062340930538,0.3661626011610284
10,1797,0.7116831683168316,1797,1.0,0.8784474773853287,0.5139380882439012,0.3645093891414275
11,1826,0.7231683168316831,1826,1.0,0.8802327701725952,0.516075153946464,0.3641576162261312
12,1760,0.697029702970297,1760,1.0,0.8747260782541322,0.5113626678719009,0.3633634103822313
13,1800,0.7128712871287128,1800,1.0,0.8788739197530864,0.5107081790123457,0.3681657407407407
14,1788,0.7081188118811881,1788,1.0,0.8743180987843391,0.5119847266639641,0.362333372120375
15,1796,0.7112871287128713,1796,1.0,0.8722251811746966,0.5153473011046572,0.3568778800700394
16,1825,0.7227722772277227,1825,1.0,0.880021617564271,0.5151288421842747,0.3648927753799963
17,1813,0.718019801980198,1813,1.0,0.880977277242347,0.5098872243699286,0.37109005287241836
18,1802,0.7136633663366336,1802,1.0,0.8880295170860839,0.5134113840707267,0.3746181330153572
19,1795,0.7108910891089109,1795,1.0,0.878641537542384,0.5143760523273407,0.3642654852150433
