seed,n_train,n_test,n_seen,seen_fraction,n_matched,matched_fraction,auc_random,auc_degree_matched,inflation_auc
0,41654,10414,9853,0.9461302093335894,9853,1.0,0.9289748380663942,0.5144852306681484,0.4144896073982458
1,41654,10414,9894,0.9500672172076051,9894,1.0,0.927417312413953,0.5132374720449949,0.41417984036895805
2,41654,10414,9850,0.9458421355867102,9850,1.0,0.9278819706769048,0.5118271431884357,0.4160548274884691
3,41654,10414,9880,0.9487228730555022,9879,0.9998987854251012,0.9282828455637693,0.5142684422600622,0.4140144033037071
4,41654,10414,9895,0.9501632417898982,9895,1.0,0.926910376027623,0.5128943548492113,0.41401602117841174
5,41654,10414,9864,0.9471864797388131,9864,1.0,0.930749510249367,0.5137981834786017,0.4169513267707653
6,41654,10414,9887,0.9493950451315537,9887,1.0,0.9294625607996844,0.5133831809920392,0.4160793798076452
7,41654,10414,9873,0.9480507009794508,9873,1.0,0.928222467677189,0.5131667415721853,0.41505572610500363
8,41654,10414,9942,0.9546763971576724,9942,1.0,0.9286840136278648,0.5138261987926676,0.41485781483519724
9,41654,10414,9880,0.9487228730555022,9880,1.0,0.9259382939402383,0.5129003456457244,0.4130379482945139
10,41654,10414,9871,0.9478586518148646,9871,1.0,0.9264991441977151,0.5125822276652579,0.4139169165324572
11,41654,10414,9871,0.9478586518148646,9871,1.0,0.9300364736506054,0.5136632224421611,0.41637325120844426
12,41654,10414,9904,0.9510274630305359,9904,1.0,0.9287534880490838,0.5149475911806656,0.4138058968684182
13,41654,10414,9861,0.946898405991934,9861,1.0,0.9315854797052727,0.5145865220510949,0.4169989576541778
14,41654,10414,9893,0.949971192625312,9893,1.0,0.9226582769812676,0.5133016218039236,0.409356655177344
15,41654,10414,9832,0.944113693105435,9832,1.0,0.9291275745378337,0.5135762088688006,0.41555136566903306
16,41654,10414,9898,0.9504513155367774,9898,1.0,0.9294415944227401,0.5133755241021564,0.41606607032058374
17,41654,10414,9929,0.9534280775878625,9928,0.999899284922953,0.9298028693825872,0.512797150563834,0.41700571881875315
18,41654,10414,9905,0.9511234876128288,9905,1.0,0.9282107023283536,0.5128127916876148,0.4153979106407387
19,41654,10414,9930,0.9535241021701556,9930,1.0,0.9277578953987073,0.5142482574395391,0.4135096379591683
