model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,0,0.0,0.0,0.0
NeuralMF,500,0,0.0,0.0,0.0
NeuralMF,1000,0,0.0,0.0,0.0
NeuralMF,5000,0,0.0,0.0,0.0
NeuralMF,10000,1,0.0001,0.09090909090909091,9.248563636363636
NeuralMF,50000,10,0.0002,0.9090909090909091,18.497127272727273
SVD,100,0,0.0,0.0,0.0
SVD,500,0,0.0,0.0,0.0
SVD,1000,0,0.0,0.0,0.0
SVD,5000,9,0.0018,0.8181818181818182,166.47414545454544
SVD,10000,9,0.0009,0.8181818181818182,83.23707272727272
SVD,50000,9,0.00018,0.8181818181818182,16.647414545454545
LightGCN,100,0,0.0,0.0,0.0
LightGCN,500,0,0.0,0.0,0.0
LightGCN,1000,0,0.0,0.0,0.0
LightGCN,5000,0,0.0,0.0,0.0
LightGCN,10000,1,0.0001,0.09090909090909091,9.248563636363636
LightGCN,50000,9,0.00018,0.8181818181818182,16.647414545454545
