model,k,hits,precision_lower_bound,recall_supported,enrichment_uniform
NeuralMF,100,0,0.0,0.0,0.0
NeuralMF,500,0,0.0,0.0,0.0
NeuralMF,1000,0,0.0,0.0,0.0
NeuralMF,5000,0,0.0,0.0,0.0
NeuralMF,10000,0,0.0,0.0,0.0
NeuralMF,50000,2,4e-05,1.0,20.34684
SVD,100,0,0.0,0.0,0.0
SVD,500,0,0.0,0.0,0.0
SVD,1000,0,0.0,0.0,0.0
SVD,5000,1,0.0002,0.5,101.7342
SVD,10000,1,0.0001,0.5,50.8671
SVD,50000,1,2e-05,0.5,10.17342
LightGCN,100,0,0.0,0.0,0.0
LightGCN,500,0,0.0,0.0,0.0
LightGCN,1000,0,0.0,0.0,0.0
LightGCN,5000,0,0.0,0.0,0.0
LightGCN,10000,0,0.0,0.0,0.0
LightGCN,50000,1,2e-05,0.5,10.17342
