seed,method,model,n_seen,n_matched,matching_coverage,auc_conventional,auc_neutralized
0,log2_bins,SVD,3134,1934,0.6171027440970006,0.9539661448289932,0.9219598348392506
0,log2_bins,NeuralMF,3134,1934,0.6171027440970006,0.9969324847311472,0.916931436472892
0,log2_bins,LightGCN,3134,1934,0.6171027440970006,0.9886790370472033,0.8887055135928239
0,degree_deciles,SVD,3134,3134,1.0,0.9539661448289932,0.9445130888389238
0,degree_deciles,NeuralMF,3134,3134,1.0,0.9969324847311472,0.9763870862382197
0,degree_deciles,LightGCN,3134,3134,1.0,0.9886790370472033,0.9693816588060464
0,nearest_caliper,SVD,3134,1563,0.4987236758136567,0.9539661448289932,0.9096263603836152
0,nearest_caliper,NeuralMF,3134,1563,0.4987236758136567,0.9969324847311472,0.9305083281859082
0,nearest_caliper,LightGCN,3134,1563,0.4987236758136567,0.9886790370472033,0.9073578092886155
1,log2_bins,SVD,3120,1818,0.5826923076923077,0.9558210572813939,0.9201862017884956
1,log2_bins,NeuralMF,3120,1818,0.5826923076923077,0.9975516724194609,0.9001946674315395
1,log2_bins,LightGCN,3120,1818,0.5826923076923077,0.9892425830046022,0.8813164044677295
1,degree_deciles,SVD,3120,3120,1.0,0.9558210572813939,0.9463783078566732
1,degree_deciles,NeuralMF,3120,3120,1.0,0.9975516724194609,0.9827407955292571
1,degree_deciles,LightGCN,3120,3120,1.0,0.9892425830046022,0.9722449252136752
1,nearest_caliper,SVD,3120,1468,0.4705128205128205,0.9558210572813939,0.9080840863025191
1,nearest_caliper,NeuralMF,3120,1468,0.4705128205128205,0.9975516724194609,0.93271815070273
1,nearest_caliper,LightGCN,3120,1468,0.4705128205128205,0.9892425830046022,0.9193855845688957
2,log2_bins,SVD,3146,1878,0.5969485060394152,0.9493960281757194,0.9091478483556591
2,log2_bins,NeuralMF,3146,1878,0.5969485060394152,0.9971544810734546,0.9145614088810406
2,log2_bins,LightGCN,3146,1878,0.5969485060394152,0.9880919231031927,0.8820502744065299
2,degree_deciles,SVD,3146,3146,1.0,0.9493960281757194,0.9385988585188145
2,degree_deciles,NeuralMF,3146,3146,1.0,0.9971544810734546,0.9809186652219652
2,degree_deciles,LightGCN,3146,3146,1.0,0.9880919231031927,0.9697325012154812
2,nearest_caliper,SVD,3146,1499,0.4764780673871583,0.9493960281757194,0.9041453475098588
2,nearest_caliper,NeuralMF,3146,1499,0.4764780673871583,0.9971544810734546,0.9354530772349455
2,nearest_caliper,LightGCN,3146,1499,0.4764780673871583,0.9880919231031927,0.913610630346849
3,log2_bins,SVD,3137,1844,0.5878227605992987,0.9466832317677613,0.9145081544882623
3,log2_bins,NeuralMF,3137,1844,0.5878227605992987,0.9965210035923006,0.9060498727184607
3,log2_bins,LightGCN,3137,1844,0.5878227605992987,0.9876332835370895,0.8801050837329017
3,degree_deciles,SVD,3137,3137,1.0,0.9466832317677613,0.9336768295241966
3,degree_deciles,NeuralMF,3137,3137,1.0,0.9965210035923006,0.9759692560611877
3,degree_deciles,LightGCN,3137,3137,1.0,0.9876332835370895,0.9683910881354901
3,nearest_caliper,SVD,3137,1498,0.4775262990117947,0.9466832317677613,0.9007029399234582
3,nearest_caliper,NeuralMF,3137,1498,0.4775262990117947,0.9965210035923006,0.9314885356710594
3,nearest_caliper,LightGCN,3137,1498,0.4775262990117947,0.9876332835370895,0.9160926183732292
4,log2_bins,SVD,3144,1914,0.6087786259541985,0.9441087248055992,0.9064960490211815
4,log2_bins,NeuralMF,3144,1914,0.6087786259541985,0.9961023744083807,0.9024476196403556
4,log2_bins,LightGCN,3144,1914,0.6087786259541985,0.9871142739674584,0.8794533815072135
4,degree_deciles,SVD,3144,3144,1.0,0.9441087248055992,0.9334461739797603
4,degree_deciles,NeuralMF,3144,3144,1.0,0.9961023744083807,0.9755035440501395
4,degree_deciles,LightGCN,3144,3144,1.0,0.9871142739674584,0.9676118815919817
4,nearest_caliper,SVD,3144,1563,0.49713740458015265,0.9441087248055992,0.8934319264796238
4,nearest_caliper,NeuralMF,3144,1563,0.49713740458015265,0.9961023744083807,0.9221954924520122
4,nearest_caliper,LightGCN,3144,1563,0.49713740458015265,0.9871142739674584,0.9099988579470308
5,log2_bins,SVD,3150,1845,0.5857142857142857,0.9458939279415469,0.9092224645823695
5,log2_bins,NeuralMF,3150,1845,0.5857142857142857,0.9970476190476191,0.9001881596051733
5,log2_bins,LightGCN,3150,1845,0.5857142857142857,0.9885625598387502,0.8861251019014256
5,degree_deciles,SVD,3150,3150,1.0,0.9458939279415469,0.9365388259007307
5,degree_deciles,NeuralMF,3150,3150,1.0,0.9970476190476191,0.9756769967246157
5,degree_deciles,LightGCN,3150,3150,1.0,0.9885625598387502,0.9681020912068532
5,nearest_caliper,SVD,3150,1528,0.48507936507936505,0.9458939279415469,0.8987514476713907
5,nearest_caliper,NeuralMF,3150,1528,0.48507936507936505,0.9970476190476191,0.9304029837449631
5,nearest_caliper,LightGCN,3150,1528,0.48507936507936505,0.9885625598387502,0.9203558016501739
6,log2_bins,SVD,3119,1914,0.6136582237896762,0.9543286752758307,0.9250078342608881
6,log2_bins,NeuralMF,3119,1914,0.6136582237896762,0.997074678348765,0.9162719509438784
6,log2_bins,LightGCN,3119,1914,0.6136582237896762,0.9891110971539224,0.8855873075146667
6,degree_deciles,SVD,3119,3119,1.0,0.9543286752758307,0.945776853405284
6,degree_deciles,NeuralMF,3119,3119,1.0,0.997074678348765,0.9796621375818102
6,degree_deciles,LightGCN,3119,3119,1.0,0.9891110971539224,0.9728076046438787
6,nearest_caliper,SVD,3119,1488,0.4770759858929144,0.9543286752758307,0.9137635131229044
6,nearest_caliper,NeuralMF,3119,1488,0.4770759858929144,0.997074678348765,0.9426920742282344
6,nearest_caliper,LightGCN,3119,1488,0.4770759858929144,0.9891110971539224,0.9165365938258757
7,log2_bins,SVD,3158,1923,0.6089297023432553,0.9481422473800167,0.9105216730770115
7,log2_bins,NeuralMF,3158,1923,0.6089297023432553,0.9969961788691908,0.9190995824960404
7,log2_bins,LightGCN,3158,1923,0.6089297023432553,0.9910858998388042,0.897153514845742
7,degree_deciles,SVD,3158,3158,1.0,0.9481422473800167,0.9408765538509916
7,degree_deciles,NeuralMF,3158,3158,1.0,0.9969961788691908,0.9837123647493362
7,degree_deciles,LightGCN,3158,3158,1.0,0.9910858998388042,0.9730142413027862
7,nearest_caliper,SVD,3158,1550,0.4908169727675744,0.9481422473800167,0.903484703433923
7,nearest_caliper,NeuralMF,3158,1550,0.4908169727675744,0.9969961788691908,0.930678459937565
7,nearest_caliper,LightGCN,3158,1550,0.4908169727675744,0.9910858998388042,0.9189893860561914
8,log2_bins,SVD,3163,1969,0.6225102750553272,0.9491736725490124,0.9142419797361903
8,log2_bins,NeuralMF,3163,1969,0.6225102750553272,0.9961745478490878,0.919429934941311
8,log2_bins,LightGCN,3163,1969,0.6225102750553272,0.9888627885918924,0.8998086387766088
8,degree_deciles,SVD,3163,3163,1.0,0.9491736725490124,0.9381317176182202
