seed,method,conventional_winner,neutralized_winner,winner_changed,matching_coverage
0,log2_bins,NeuralMF,SVD,True,0.6171027440970006
0,degree_deciles,NeuralMF,NeuralMF,False,1.0
0,nearest_caliper,NeuralMF,NeuralMF,False,0.4987236758136567
1,log2_bins,NeuralMF,SVD,True,0.5826923076923077
1,degree_deciles,NeuralMF,NeuralMF,False,1.0
1,nearest_caliper,NeuralMF,NeuralMF,False,0.4705128205128205
2,log2_bins,NeuralMF,NeuralMF,False,0.5969485060394152
2,degree_deciles,NeuralMF,NeuralMF,False,1.0
2,nearest_caliper,NeuralMF,NeuralMF,False,0.4764780673871583
3,log2_bins,NeuralMF,SVD,True,0.5878227605992987
3,degree_deciles,NeuralMF,NeuralMF,False,1.0
3,nearest_caliper,NeuralMF,NeuralMF,False,0.4775262990117947
4,log2_bins,NeuralMF,SVD,True,0.6087786259541985
4,degree_deciles,NeuralMF,NeuralMF,False,1.0
4,nearest_caliper,NeuralMF,NeuralMF,False,0.49713740458015265
5,log2_bins,NeuralMF,SVD,True,0.5857142857142857
5,degree_deciles,NeuralMF,NeuralMF,False,1.0
5,nearest_caliper,NeuralMF,NeuralMF,False,0.48507936507936505
6,log2_bins,NeuralMF,SVD,True,0.6136582237896762
6,degree_deciles,NeuralMF,NeuralMF,False,1.0
6,nearest_caliper,NeuralMF,NeuralMF,False,0.4770759858929144
7,log2_bins,NeuralMF,NeuralMF,False,0.6089297023432553
7,degree_deciles,NeuralMF,NeuralMF,False,1.0
7,nearest_caliper,NeuralMF,NeuralMF,False,0.4908169727675744
8,log2_bins,NeuralMF,NeuralMF,False,0.6225102750553272
8,degree_deciles,NeuralMF,NeuralMF,False,1.0
8,nearest_caliper,NeuralMF,NeuralMF,False,0.46727790072715775
9,log2_bins,NeuralMF,SVD,True,0.5644901897716308
9,degree_deciles,NeuralMF,NeuralMF,False,1.0
9,nearest_caliper,NeuralMF,NeuralMF,False,0.5069154068832422
