entrez_gene,ensembl_gene,n_ensembl_mappings,all_ensembl_mappings,approved_symbol,direct_association_count,n_therapeutic_areas,has_disease_area_annotation
9,ENSG00000171428,1,ENSG00000171428,NAT1,737,24,True
10,ENSG00000156006,1,ENSG00000156006,NAT2,875,24,True
18,ENSG00000183044,1,ENSG00000183044,ABAT,311,23,True
25,ENSG00000097007,1,ENSG00000097007,ABL1,1462,24,True
90,ENSG00000115170,1,ENSG00000115170,ACVR1,1580,24,True
91,ENSG00000135503,1,ENSG00000135503,ACVR1B,286,21,True
92,ENSG00000121989,1,ENSG00000121989,ACVR2A,1372,24,True
93,ENSG00000114739,1,ENSG00000114739,ACVR2B,1338,24,True
94,ENSG00000139567,1,ENSG00000139567,ACVRL1,698,24,True
134,ENSG00000163485,1,ENSG00000163485,ADORA1,636,25,True
135,ENSG00000128271,1,ENSG00000128271,ADORA2A,957,25,True
136,ENSG00000170425,1,ENSG00000170425,ADORA2B,519,25,True
140,ENSG00000282608,1,ENSG00000282608,ADORA3,718,24,True
146,ENSG00000171873,1,ENSG00000171873,ADRA1D,1135,24,True
147,ENSG00000170214,1,ENSG00000170214,ADRA1B,746,24,True
148,ENSG00000120907,1,ENSG00000120907,ADRA1A,368,24,True
150,ENSG00000150594,1,ENSG00000150594,ADRA2A,568,24,True
151,ENSG00000274286,1,ENSG00000274286,ADRA2B,518,24,True
152,ENSG00000184160,1,ENSG00000184160,ADRA2C,396,24,True
153,ENSG00000043591,1,ENSG00000043591,ADRB1,601,24,True
155,ENSG00000188778,1,ENSG00000188778,ADRB3,433,24,True
185,ENSG00000144891,1,ENSG00000144891,AGTR1,1493,25,True
190,ENSG00000169297,1,ENSG00000169297,NR0B1,466,23,True
231,ENSG00000085662,1,ENSG00000085662,AKR1B1,737,24,True
238,ENSG00000171094,1,ENSG00000171094,ALK,1443,24,True
239,ENSG00000108839,1,ENSG00000108839,ALOX12,353,24,True
240,ENSG00000012779,1,ENSG00000012779,ALOX5,670,25,True
242,ENSG00000179477,1,ENSG00000179477,ALOX12B,273,20,True
246,ENSG00000161905,1,ENSG00000161905,ALOX15,473,24,True
247,ENSG00000179593,1,ENSG00000179593,ALOX15B,317,23,True
286,ENSG00000029534,1,ENSG00000029534,ANK1,1877,23,True
314,ENSG00000131480,1,ENSG00000131480,AOC2,86,19,True
316,ENSG00000138356,1,ENSG00000138356,AOX1,232,21,True
367,ENSG00000169083,1,ENSG00000169083,AR,2938,25,True
369,ENSG00000078061,1,ENSG00000078061,ARAF,1033,24,True
558,ENSG00000167601,1,ENSG00000167601,AXL,627,25,True
640,ENSG00000136573,1,ENSG00000136573,BLK,288,23,True
658,ENSG00000138696,1,ENSG00000138696,BMPR1B,2209,24,True
659,ENSG00000204217,1,ENSG00000204217,BMPR2,1110,25,True
660,ENSG00000102010,1,ENSG00000102010,BMX,183,23,True
680,ENSG00000102239,1,ENSG00000102239,BRS3,99,16,True
695,ENSG00000010671,1,ENSG00000010671,BTK,928,23,True
706,ENSG00000100300,1,ENSG00000100300,TSPO,744,23,True
759,ENSG00000133742,1,ENSG00000133742,CA1,401,23,True
760,ENSG00000104267,1,ENSG00000104267,CA2,918,25,True
761,ENSG00000164879,1,ENSG00000164879,CA3,227,22,True
762,ENSG00000167434,1,ENSG00000167434,CA4,390,24,True
763,ENSG00000174990,1,ENSG00000174990,CA5A,106,20,True
765,ENSG00000131686,1,ENSG00000131686,CA6,705,24,True
766,ENSG00000168748,1,ENSG00000168748,CA7,149,21,True
767,ENSG00000178538,1,ENSG00000178538,CA8,1689,23,True
768,ENSG00000107159,1,ENSG00000107159,CA9,613,24,True
770,ENSG00000063180,1,ENSG00000063180,CA11,65,17,True
771,ENSG00000074410,1,ENSG00000074410,CA12,238,22,True
773,ENSG00000141837,1,ENSG00000141837,CACNA1A,2717,25,True
774,ENSG00000148408,1,ENSG00000148408,CACNA1B,518,23,True
775,ENSG00000151067,1,ENSG00000151067,CACNA1C,1272,25,True
776,ENSG00000157388,1,ENSG00000157388,CACNA1D,2303,23,True
778,ENSG00000102001,1,ENSG00000102001,CACNA1F,888,23,True
779,ENSG00000081248,1,ENSG00000081248,CACNA1S,3932,23,True
781,ENSG00000153956,1,ENSG00000153956,CACNA2D1,344,25,True
801,ENSG00000198668,1,ENSG00000198668,CALM1,374,22,True
815,ENSG00000070808,1,ENSG00000070808,CAMK2A,325,25,True
816,ENSG00000058404,1,ENSG00000058404,CAMK2B,611,22,True
818,ENSG00000148660,1,ENSG00000148660,CAMK2G,647,23,True
834,ENSG00000137752,1,ENSG00000137752,CASP1,1127,25,True
887,ENSG00000110148,1,ENSG00000110148,CCKBR,390,22,True
892,ENSG00000112237,1,ENSG00000112237,CCNC,181,22,True
1017,ENSG00000123374,1,ENSG00000123374,CDK2,680,24,True
1020,ENSG00000164885,1,ENSG00000164885,CDK5,812,25,True
1022,ENSG00000134058,1,ENSG00000134058,CDK7,272,23,True
1024,ENSG00000132964,1,ENSG00000132964,CDK8,280,24,True
1103,ENSG00000070748,1,ENSG00000070748,CHAT,2360,25,True
1111,ENSG00000149554,1,ENSG00000149554,CHEK1,472,24,True
1116,ENSG00000133048,1,ENSG00000133048,CHI3L1,977,25,True
1117,ENSG00000064886,1,ENSG00000064886,CHI3L2,137,20,True
1128,ENSG00000168539,1,ENSG00000168539,CHRM1,339,25,True
1129,ENSG00000181072,1,ENSG00000181072,CHRM2,459,23,True
1131,ENSG00000133019,1,ENSG00000133019,CHRM3,1981,25,True
1132,ENSG00000180720,1,ENSG00000180720,CHRM4,333,23,True
1133,ENSG00000184984,1,ENSG00000184984,CHRM5,96,22,True
1134,ENSG00000138435,1,ENSG00000138435,CHRNA1,543,24,True
1135,ENSG00000120903,1,ENSG00000120903,CHRNA2,245,22,True
1136,ENSG00000080644,1,ENSG00000080644,CHRNA3,2001,23,True
1137,ENSG00000101204,1,ENSG00000101204,CHRNA4,502,24,True
1138,ENSG00000169684,1,ENSG00000169684,CHRNA5,207,21,True
1139,ENSG00000175344,1,ENSG00000175344,CHRNA7,1527,25,True
1140,ENSG00000170175,1,ENSG00000170175,CHRNB1,182,21,True
1141,ENSG00000160716,1,ENSG00000160716,CHRNB2,1335,22,True
1142,ENSG00000147432,1,ENSG00000147432,CHRNB3,58,16,True
1143,ENSG00000117971,1,ENSG00000117971,CHRNB4,205,21,True
1144,ENSG00000135902,1,ENSG00000135902,CHRND,243,23,True
1145,ENSG00000108556,1,ENSG00000108556,CHRNE,388,23,True
1146,ENSG00000196811,1,ENSG00000196811,CHRNG,431,24,True
1147,ENSG00000213341,1,ENSG00000213341,CHUK,4223,24,True
1174,ENSG00000106367,1,ENSG00000106367,AP1S1,74,21,True
1175,ENSG00000042753,1,ENSG00000042753,AP2S1,128,18,True
1176,ENSG00000177879,1,ENSG00000177879,AP3S1,59,19,True
1195,ENSG00000013441,1,ENSG00000013441,CLK1,1264,23,True
1196,ENSG00000176444,1,ENSG00000176444,CLK2,110,20,True
1233,ENSG00000183813,1,ENSG00000183813,CCR4,641,25,True
1241,ENSG00000213903,1,ENSG00000213903,LTB4R,414,24,True
1244,ENSG00000023839,1,ENSG00000023839,ABCC2,901,23,True
1312,ENSG00000093010,1,ENSG00000093010,COMT,619,24,True
