model,k,entrez_gene,ensembl_gene,therapeutic_area_id,therapeutic_area_name,target_normalized_area_weight
SVD,100,135,ENSG00000128271,MONDO_0005071,nervous system disorder,0.07250543816523844
SVD,100,135,ENSG00000128271,OTAR_0000018,"genetic, familial or congenital disease",0.07250543816523844
SVD,100,135,ENSG00000128271,MONDO_0004995,cardiovascular disorder,0.0724550212338383
SVD,100,135,ENSG00000128271,EFO_0000651,phenotype,0.07245277905181442
SVD,100,135,ENSG00000128271,OTAR_0000010,respiratory or thoracic disease,0.07245277905181442
SVD,100,135,ENSG00000128271,OTAR_0000006,musculoskeletal or connective tissue disease,0.06710480272960756
SVD,100,135,ENSG00000128271,MONDO_0005151,endocrine system disorder,0.06104299105730066
SVD,100,135,ENSG00000128271,MONDO_0002515,hepatobiliary disorder,0.06104299105730066
SVD,100,135,ENSG00000128271,EFO_0010282,gastrointestinal disease,0.06104299105730066
SVD,100,135,ENSG00000128271,MONDO_0002025,psychiatric disorder,0.04654463541571613
SVD,100,135,ENSG00000128271,MONDO_0002118,urinary system disorder,0.04364191347646483
SVD,100,135,ENSG00000128271,OTAR_0000020,nutritional or metabolic disease,0.042092747716916706
SVD,100,135,ENSG00000128271,OTAR_0000009,"injury, poisoning or other complication",0.03849051622464945
SVD,100,135,ENSG00000128271,OTAR_0000017,reproductive system or breast disease,0.03301592980157471
SVD,100,135,ENSG00000128271,MONDO_0005046,immune system disorder,0.03098901673468522
SVD,100,135,ENSG00000128271,MONDO_0005550,infectious disease,0.030753361092617823
SVD,100,135,ENSG00000128271,MONDO_0002051,integumentary system disorder,0.030753361092617823
SVD,100,135,ENSG00000128271,MONDO_0005570,hematologic disorder,0.02222479506104006
SVD,100,135,ENSG00000128271,MONDO_0045024,cancer or benign tumor,0.02222479506104006
SVD,100,135,ENSG00000128271,GO_0008150,biological_process,0.02196668649472702
SVD,100,135,ENSG00000128271,MONDO_0024458,disorder of visual system,0.009592644930352988
SVD,100,135,ENSG00000128271,EFO_0002571,medical procedure,0.006590005948418105
SVD,100,135,ENSG00000128271,OTAR_0000014,pregnancy or perinatal disease,0.006238538964502473
SVD,100,135,ENSG00000128271,MONDO_0005583,non-human animal disease,0.001858453371823236
SVD,100,135,ENSG00000128271,MONDO_0021205,disorder of ear,0.0004173670433998134
SVD,100,140,ENSG00000282608,MONDO_0005071,nervous system disorder,0.08382982228998467
SVD,100,140,ENSG00000282608,MONDO_0004995,cardiovascular disorder,0.08382982228998467
SVD,100,140,ENSG00000282608,EFO_0000651,phenotype,0.08377244808761446
SVD,100,140,ENSG00000282608,OTAR_0000010,respiratory or thoracic disease,0.08377244808761446
SVD,100,140,ENSG00000282608,OTAR_0000018,"genetic, familial or congenital disease",0.07813821515614812
SVD,100,140,ENSG00000282608,OTAR_0000006,musculoskeletal or connective tissue disease,0.07813821515614812
SVD,100,140,ENSG00000282608,MONDO_0002025,psychiatric disorder,0.0512848171751619
SVD,100,140,ENSG00000282608,MONDO_0005046,immune system disorder,0.044383464893278185
SVD,100,140,ENSG00000282608,MONDO_0002051,integumentary system disorder,0.044383464893278185
SVD,100,140,ENSG00000282608,MONDO_0002515,hepatobiliary disorder,0.042014790961495435
SVD,100,140,ENSG00000282608,MONDO_0005151,endocrine system disorder,0.042014790961495435
SVD,100,140,ENSG00000282608,EFO_0010282,gastrointestinal disease,0.042014790961495435
SVD,100,140,ENSG00000282608,MONDO_0045024,cancer or benign tumor,0.042014790961495435
SVD,100,140,ENSG00000282608,MONDO_0024458,disorder of visual system,0.03586100432896608
SVD,100,140,ENSG00000282608,MONDO_0005550,infectious disease,0.03580984740410307
SVD,100,140,ENSG00000282608,GO_0008150,biological_process,0.025578462431502195
SVD,100,140,ENSG00000282608,MONDO_0002118,urinary system disorder,0.018300165668607662
SVD,100,140,ENSG00000282608,OTAR_0000014,pregnancy or perinatal disease,0.018213975608056664
