seed,regime,model,auroc,auprc,n_pos,n_neg
0,random,svd,0.9545094647020558,0.9749842708233296,3129,3129
0,random,neuralmf,0.9962425340690154,0.994802065911067,3129,3129
0,random,lightgcn,0.990100648159809,0.9928628399920103,3129,3129
0,random,graphban,0.9975357078254631,0.9978157056218425,3129,3129
0,matched,svd,0.9207987764714229,0.9402365697024072,1929,1929
0,matched,neuralmf,0.9118698235251909,0.8953972735267359,1929,1929
0,matched,lightgcn,0.8906069564941638,0.8842756617021811,1929,1929
0,matched,graphban,0.9524259474700763,0.9626285315835154,1929,1929
1,random,svd,0.957609918351888,0.9766951546270705,3115,3115
1,random,neuralmf,0.99760708424261,0.9965372610311282,3115,3115
1,random,lightgcn,0.988754357443015,0.9902262049566503,3115,3115
1,random,graphban,0.9982228588948521,0.998361731560565,3115,3115
1,matched,svd,0.9206071003407699,0.9378589337041087,1813,1813
1,matched,neuralmf,0.9045607062311812,0.8846649653665812,1813,1813
1,matched,lightgcn,0.8801144762849908,0.8712169852977991,1813,1813
1,matched,graphban,0.9568820089267651,0.9671667605548285,1813,1813
2,random,svd,0.950329325942544,0.9726665329884814,3144,3144
2,random,neuralmf,0.9970616311856989,0.9966686882357895,3144,3144
2,random,lightgcn,0.9880346829697828,0.9896505856960683,3144,3144
2,random,graphban,0.9975797026850287,0.9977708821407428,3144,3144
2,matched,svd,0.9090187721191768,0.9303842185177438,1778,1778
2,matched,neuralmf,0.9079924486379582,0.8877289558428587,1778,1778
2,matched,lightgcn,0.8783810628845747,0.8598540104002784,1778,1778
2,matched,graphban,0.9340301282643382,0.9483586826983172,1778,1778
3,random,svd,0.9463508250043021,0.9699307808976105,3131,3131
3,random,neuralmf,0.996481849068887,0.9964509013175799,3131,3131
3,random,lightgcn,0.9892406133082994,0.9925721179471277,3131,3131
3,random,graphban,0.9967602286650195,0.997149579826114,3131,3131
3,matched,svd,0.916322355638018,0.9376004493713436,1838,1838
3,matched,neuralmf,0.9109001599647627,0.886737281216871,1838,1838
3,matched,lightgcn,0.8802638293740771,0.8554373864590599,1838,1838
3,matched,graphban,0.9461107605016097,0.9581989967023676,1838,1838
4,random,svd,0.9443342083167294,0.9693234037053169,3138,3138
4,random,neuralmf,0.9950742578178791,0.9943829126910115,3138,3138
4,random,lightgcn,0.987321677449598,0.9895103388109309,3138,3138
4,random,graphban,0.9970615547163189,0.9973760523644742,3138,3138
4,matched,svd,0.9084449125166462,0.9326397032467426,1908,1908
4,matched,neuralmf,0.9007596284429678,0.8786121321709544,1908,1908
4,matched,lightgcn,0.8761471065226851,0.8739952285435166,1908,1908
4,matched,graphban,0.9076977550114492,0.9242073444227508,1908,1908
