seed,regime,model_a,model_b,auroc_a,auroc_b,delta_auroc_signed_a_minus_b,delta_auroc_abs,ht_100,ht_500,ht_1000
0,random,svd,neuralmf,0.9545094647020558,0.9962425340690154,-0.04173306936695964,0.04173306936695964,1.0,1.0,0.959
0,matched,svd,neuralmf,0.9207987764714229,0.9118698235251909,0.008928952946232083,0.008928952946232083,1.0,1.0,0.959
0,random,svd,lightgcn,0.9545094647020558,0.990100648159809,-0.03559118345775325,0.03559118345775325,1.0,0.964,0.953
0,matched,svd,lightgcn,0.9207987764714229,0.8906069564941638,0.03019181997725917,0.03019181997725917,1.0,0.964,0.953
0,random,svd,graphban,0.9545094647020558,0.9975357078254631,-0.043026243123407304,0.043026243123407304,0.86,0.766,0.734
0,matched,svd,graphban,0.9207987764714229,0.9524259474700763,-0.03162717099865331,0.03162717099865331,0.86,0.766,0.734
0,random,neuralmf,lightgcn,0.9962425340690154,0.990100648159809,0.0061418859092063904,0.0061418859092063904,0.98,0.484,0.366
0,matched,neuralmf,lightgcn,0.9118698235251909,0.8906069564941638,0.02126286703102709,0.02126286703102709,0.98,0.484,0.366
0,random,neuralmf,graphban,0.9962425340690154,0.9975357078254631,-0.001293173756447663,0.001293173756447663,1.0,0.996,0.903
0,matched,neuralmf,graphban,0.9118698235251909,0.9524259474700763,-0.04055612394488539,0.04055612394488539,1.0,0.996,0.903
0,random,lightgcn,graphban,0.990100648159809,0.9975357078254631,-0.0074350596656540535,0.0074350596656540535,1.0,0.962,0.885
0,matched,lightgcn,graphban,0.8906069564941638,0.9524259474700763,-0.06181899097591248,0.06181899097591248,1.0,0.962,0.885
1,random,svd,neuralmf,0.957609918351888,0.99760708424261,-0.039997165890722,0.039997165890722,1.0,1.0,0.956
1,matched,svd,neuralmf,0.9206071003407699,0.9045607062311812,0.016046394109588635,0.016046394109588635,1.0,1.0,0.956
1,random,svd,lightgcn,0.957609918351888,0.988754357443015,-0.031144439091126963,0.031144439091126963,1.0,0.966,0.95
1,matched,svd,lightgcn,0.9206071003407699,0.8801144762849908,0.040492624055779025,0.040492624055779025,1.0,0.966,0.95
1,random,svd,graphban,0.957609918351888,0.9982228588948521,-0.04061294054296405,0.04061294054296405,0.96,0.8160000000000001,0.781
1,matched,svd,graphban,0.9206071003407699,0.9568820089267651,-0.03627490858599525,0.03627490858599525,0.96,0.8160000000000001,0.781
1,random,neuralmf,lightgcn,0.99760708424261,0.988754357443015,0.008852726799595034,0.008852726799595034,0.98,0.502,0.43300000000000005
1,matched,neuralmf,lightgcn,0.9045607062311812,0.8801144762849908,0.02444622994619039,0.02444622994619039,0.98,0.502,0.43300000000000005
1,random,neuralmf,graphban,0.99760708424261,0.9982228588948521,-0.0006157746522420515,0.0006157746522420515,1.0,0.844,0.815
1,matched,neuralmf,graphban,0.9045607062311812,0.9568820089267651,-0.05232130269558388,0.05232130269558388,1.0,0.844,0.815
1,random,lightgcn,graphban,0.988754357443015,0.9982228588948521,-0.009468501451837086,0.009468501451837086,1.0,0.896,0.903
1,matched,lightgcn,graphban,0.8801144762849908,0.9568820089267651,-0.07676753264177427,0.07676753264177427,1.0,0.896,0.903
2,random,svd,neuralmf,0.950329325942544,0.9970616311856989,-0.04673230524315486,0.04673230524315486,1.0,1.0,0.948
2,matched,svd,neuralmf,0.9090187721191768,0.9079924486379582,0.0010263234812185607,0.0010263234812185607,1.0,1.0,0.948
2,random,svd,lightgcn,0.950329325942544,0.9880346829697828,-0.03770535702723876,0.03770535702723876,1.0,0.968,0.951
2,matched,svd,lightgcn,0.9090187721191768,0.8783810628845747,0.030637709234602073,0.030637709234602073,1.0,0.968,0.951
2,random,svd,graphban,0.950329325942544,0.9975797026850287,-0.04725037674248467,0.04725037674248467,0.95,0.882,0.853
2,matched,svd,graphban,0.9090187721191768,0.9340301282643382,-0.025011356145161368,0.025011356145161368,0.95,0.882,0.853
2,random,neuralmf,lightgcn,0.9970616311856989,0.9880346829697828,0.009026948215916097,0.009026948215916097,1.0,0.518,0.44499999999999995
2,matched,neuralmf,lightgcn,0.9079924486379582,0.8783810628845747,0.029611385753383512,0.029611385753383512,1.0,0.518,0.44499999999999995
2,random,neuralmf,graphban,0.9970616311856989,0.9975797026850287,-0.0005180714993298086,0.0005180714993298086,1.0,0.994,0.881
2,matched,neuralmf,graphban,0.9079924486379582,0.9340301282643382,-0.026037679626379928,0.026037679626379928,1.0,0.994,0.881
2,random,lightgcn,graphban,0.9880346829697828,0.9975797026850287,-0.009545019715245906,0.009545019715245906,1.0,0.95,0.831
2,matched,lightgcn,graphban,0.8783810628845747,0.9340301282643382,-0.05564906537976344,0.05564906537976344,1.0,0.95,0.831
3,random,svd,neuralmf,0.9463508250043021,0.996481849068887,-0.05013102406458492,0.05013102406458492,1.0,1.0,0.969
3,matched,svd,neuralmf,0.916322355638018,0.9109001599647627,0.005422195673255303,0.005422195673255303,1.0,1.0,0.969
3,random,svd,lightgcn,0.9463508250043021,0.9892406133082994,-0.042889788303997256,0.042889788303997256,1.0,0.978,0.945
3,matched,svd,lightgcn,0.916322355638018,0.8802638293740771,0.036058526263940904,0.036058526263940904,1.0,0.978,0.945
3,random,svd,graphban,0.9463508250043021,0.9967602286650195,-0.050409403660717333,0.050409403660717333,0.84,0.856,0.883
3,matched,svd,graphban,0.916322355638018,0.9461107605016097,-0.02978840486359169,0.02978840486359169,0.84,0.856,0.883
3,random,neuralmf,lightgcn,0.996481849068887,0.9892406133082994,0.007241235760587661,0.007241235760587661,1.0,0.552,0.515
3,matched,neuralmf,lightgcn,0.9109001599647627,0.8802638293740771,0.0306363305906856,0.0306363305906856,1.0,0.552,0.515
3,random,neuralmf,graphban,0.996481849068887,0.9967602286650195,-0.0002783795961324165,0.0002783795961324165,1.0,0.984,0.844
3,matched,neuralmf,graphban,0.9109001599647627,0.9461107605016097,-0.03521060053684699,0.03521060053684699,1.0,0.984,0.844
3,random,lightgcn,graphban,0.9892406133082994,0.9967602286650195,-0.007519615356720077,0.007519615356720077,1.0,0.976,0.901
